question,bert_score_mean,bert_score_median,bert_score_mode,cosine_similarity_mean,cosine_similarity_median,cosine_similarity_mode
"""Which detective is the protagonist of the novels """"Dead Man's Folly"""", """"Cards on the Table"""" and """"Mrs McGinty's Dead""""?""",0.7740500768025717,0.7746229767799377,0.7703100442886353,0.1779638149560969,0.19495839191378067,0.13444368106103846
"As at early 2015, how many Prime Ministers have served in Australia since 2013?",0.7737149794896444,0.7741624712944031,0.7711694836616516,0.0,0.0,0.0
"Cable News Network (CNN), the first channel to provide 24-hour television news coverage, was founded by Ted Turner in what year?",0.7725847562154134,0.7726668119430542,0.7717931270599365,0.04164997654902757,0.05838584562542428,0.0
From around 2566 B.C. to 1311 A.D. what was the world’s tallest building?,0.7964591383934021,0.7966318726539612,0.7946330308914185,0.29943968439597907,0.3004643463086153,0.27336527471569627
How long do NFL football teams have to get a play off (the play clock)?,0.7654804984728495,0.7669535875320435,0.7614396810531616,0.10007853276833441,0.10605773344207939,0.0796008828333715
How many feet are in a furlong?,0.7568237582842509,0.7614736557006836,0.74575275182724,0.07272312931589975,0.057996618517660546,0.03943667303554267
How many squares does a Rubik’s Cube have on each side?,0.7601779699325562,0.7603465914726257,0.7524913549423218,0.0,0.0,0.0
How many ‘E’ tiles are provided in a Scrabble game?,0.7723483045895895,0.7725551128387451,0.7714205980300903,0.0714619740386377,0.07242728824754256,0.04626564553555298
"In 1984, in Bophal, India, there was a leak of 30 tons of methyl isocyanate, which resulted in the deaths of 25,000 people. What American chemical company owned the plant where the leak occurred?",0.7721815705299377,0.7721673250198364,0.7716830372810364,0.06637308731532711,0.06240190184881841,0.058385845625424315
In April 1814 which King gained the French throne to begin the Bourbon Restoration?,0.7296044826507568,0.7294446229934692,0.7291420102119446,0.11508310920041943,0.11617913656755431,0.0820232168403123
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",0.7771227359771729,0.778806209564209,0.7731761932373047,0.15857498394368974,0.1763202304865141,0.11511724655147147
John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?,0.7706300218900045,0.7716155052185059,0.7646414041519165,0.0619908511301179,0.07168826203675188,0.03907815716846103
"The 3rd of his vice presidents (after John Nance Garner and Henry Wallace), who took over the reins of power when FDR kicked off?",0.7778974771499634,0.7793423533439636,0.774181067943573,0.15634011991563837,0.13070540597402333,0.11731302426092054
The Nazi regime was Germany's Third Reich; which was the first Reich?,0.763689378897349,0.7639975547790527,0.7630277872085571,0.2230609575857894,0.2349201078982601,0.1970224812415794
The SS Titanic sank in which year?,0.7697995901107788,0.7696499228477478,0.7689743041992188,0.046527722693010636,0.05858342107442476,0.021605479202846854
"This quiz is printed on A4 paper which has a length of 297mm. How wide, in millimetres, is A4 paper?",0.7590458790461222,0.7602375149726868,0.7555218935012817,0.13925058170231366,0.1381992977342658,0.12337959289279264
What is commonly known as the 'sport of kings'?,0.7741435766220093,0.7744676470756531,0.7727835774421692,0.2189209592458611,0.20551256281151536,0.19691079751082308
Which American naval destroyer was attacked in Aden in October 2000?,0.7831221222877502,0.7843037843704224,0.7796825766563416,0.10264036970515257,0.08473564545511501,0.08298848107078917
Which British fashion designer was commissioned by Stanley Kubrick to design the costumes for the film ‘2001: A Space Odyssey’?,0.7573014696439108,0.7521252632141113,0.7443006634712219,0.1436188386219654,0.14205612013562843,0.11903960511790294
"Which Tim Burton film is the highest-grossing film of 2010 and, already, the fifth highest-grossing film of all time worldwide?",0.7430697282155355,0.7432379722595215,0.7417490482330322,0.22899595007685317,0.25310582812689264,0.1425678031858217
Which city in Georgia was burned by General Sherman during the American Civil War,0.7591322859128317,0.7593751549720764,0.757290780544281,0.1272731560450203,0.15573325029464663,0.06228224898050507
Which is the largest city in Scandinavia by population ?,0.6933032870292664,0.6916440725326538,0.6911329030990601,0.19142978981575412,0.20975539627821693,0.14175342986696463
Which torture chamber was invented by George Orwell?,0.7667589584986368,0.767221987247467,0.7638537287712097,0.21934758583887845,0.21368932332849233,0.17093247807080741
Who had a No 1 in the 80's with Karma Chameleon,0.7655767798423767,0.7656049728393555,0.765095055103302,0.1472622498786042,0.15553627650269153,0.1139233809632143
Who was the only fictional character to feature in Time Magazine's 100 most important people of the 20th Century?,0.7321541706720988,0.7309805750846863,0.7306975722312927,0.08540768936924377,0.12752099543307044,0.0
